Name,Born,Squat1Kg,Bench1Kg,Deadlift1Kg,Age
Cosner Ali,1971,150,92.5,190,51
Laird Joanne,1972,155,97.5,165,50
Jackson Elaine,1969,132.5,77.5,177.5,53
Lauder Angela,1970,132.5,82.5,160,52
Wilson Michelle,1971,121,67.5,135,51
Breen Michelle,1971,117.5,55,142.5,51
Grennan Tree,1966,90,47.5,122.5,56
Condon Carole,1965,122.5,70,152.5,57
Dwyer Kylie,1970,120,65,152.5,52
Muldrock Patricia,1954,70,57.5,120,68
Taylor Julianne,1959,90,55,97.5,63
Day Peta,1959,132.5,67.5,165,63
Chipping Tracy,1961,131.5,72.5,156.5,61
Baird Marion,1957,80,50,132.5,65
Procter Lesley,1956,110,67.5,145,66
Millynn Teresa,1954,77.5,42.5,107.5,68
Wilson Cherry,1950,85.5,43.5,115,72
