Name,Born,Squat1Kg,Bench1Kg,Deadlift1Kg,Age
Hall Elizabeth,1974,125.00,60.00,127.50,48.00
Taylor Siobhan,1978,160.00,90.00,175.00,44.00
Bennett Trina,1973,155.00,75.00,175.00,49.00
Berger Nicola,1979,160.00,75.00,175.00,43.00
O'Callaghan Tracy,1978,165.00,75.00,170.00,44.00
Lane Angelina,1969,85.00,47.50,112.50,53.00
Raghunath Vinutha,1968,100.00,47.50,115.00,54.00
Jensen Linda,1965,100.00,57.50,135.00,57.00
Clarke Anna,1968,95.00,57.50,122.50,54.00
Humphreys Karen,1963,102.50,57.50,125.00,59.00
Forker Annette,1966,90.00,55.00,115.00,56.00
Spragg Rachel,1970,90.00,60.00,105.00,52.00
Saldanha Vilma,1969,85.00,47.50,115.00,53.00
Breen Michelle,1971,115.00,50.00,135.00,51.00
Wilson Michelle,1971,110.00,62.50,120.00,51.00
Grennan Tree,1966,82.50,42.50,110.00,56.00
Dwyer Kylie,1970,115.00,65.00,145.00,52.00
Condon Carole,1965,115.00,67.50,142.50,57.00
Mishra Ranjita,1969,125.00,65.00,150.00,53.00
Seiuli Melissa,1969,120.00,75.00,142.50,53.00
Hendy Claire,1968,107.50,57.50,122.50,54.00
Taylor Sue,1963,87.50,52.50,130.00,59.00
Telea Ime,1972,150.00,102.50,190.00,50.00
Cosner Ali,1971,140.00,85.00,185.00,51.00
Laird Joanne,1972,140.00,90.00,155.00,50.00
Jackson Elaine,1969,122.50,72.50,165.00,53.00
Lauder Angela,1970,115.00,75.00,150.00,52.00
